,Edge_start,Edge_end,Capacity
684,5256o,5900i,10
685,44701o,44842i,10
686,66449o,66589i,10
687,28803i,28803o,10
688,42002o,27805i,10
689,22905o,21808i,10
690,80416o,78345i,10
691,264954o,46565i,10
692,47704o,47258i,10
693,39404i,39404o,10
694,40832o,39909i,10
695,80630o,79905i,10
696,27300o,27805i,10
697,81067o,80986i,10
698,60269o,60103i,10
699,28803o,30601i,10
700,39875i,39875o,10
701,59675o,59576i,10
702,29215o,14308i,10
703,84400o,83261i,10
704,9209o,10603i,10
705,54817o,54403i,10
706,81604o,81125i,10
707,51946o,51805i,10
708,14514o,14407i,10
709,67009o,60608i,10
710,7112i,7112o,10
711,46649o,19430i,10
712,32607o,32706i,10
713,83758i,83758o,10
714,57703o,54908i,10
715,83105o,83220i,10
716,71407o,61572i,10
717,67009o,67462i,10
718,50484o,50500i,10
719,30601o,28472i,10
720,61903o,67066i,10
721,82578o,82552i,10
722,48736o,50021i,10
723,65300o,65003i,10
724,24737o,24638i,10
725,9233o,9209i,10
726,21808o,36939i,10
727,8961o,8995i,10
728,20743i,20743o,10
729,46789o,46706i,10
730,41558o,27912i,10
731,54007i,54007o,10
732,50906o,50948i,10
733,13334o,13003i,10
734,44305o,44420i,10
735,17202o,7112i,10
736,60335o,60269i,10
737,24802o,24000i,10
738,8995o,8961i,10
739,83394i,83394o,10
740,46565o,47704i,10
741,81208o,80630i,10
742,40808o,40832i,10
743,262848o,50104i,10
744,62802o,71407i,10
745,42127o,42002i,10
746,20909o,21808i,10
747,82669i,82669o,10
748,71860o,45682i,10
749,30809o,32003i,10
750,7872o,8086i,10
751,75309i,75309o,10
752,47605o,48827i,10
753,7872o,22905i,10
754,36103o,38885i,10
755,79905o,79657i,10
756,58974o,59048i,10
757,12963o,24893i,10
758,7583o,5942i,10
759,81232o,81265i,10
760,44842o,44701i,10
761,75424i,75424o,10
762,74583i,74583o,10
763,54205i,54205o,10
764,33100o,30601i,10
765,36343i,36343o,10
766,39776o,25387i,10
767,46458o,46409i,10
768,48231i,48231o,10
769,80416i,80416o,10
770,30601o,29108i,10
771,63552o,48231i,10
772,33506o,80416i,10
773,60608o,61572i,10
774,2204o,3517i,10
775,83022o,82669i,10
776,45245o,45906i,10
777,62109o,60608i,10
778,60103o,60269i,10
779,251555i,251555o,10
780,22004o,9233i,10
781,2204o,2477i,10
782,8151i,8151o,10
783,77503o,77701i,10
784,67009o,67066i,10
785,258467o,65904i,10
786,39321o,39206i,10
787,82974o,261251i,10
788,38653o,36509i,10
789,7302i,7302o,10
790,30601o,30205i,10
791,68205o,68700i,10
792,33563i,33563o,10
793,37911o,37507i,10
794,77834o,77107i,10
795,82974o,65532i,10
796,260653o,13904i,10
797,75507i,75507o,10
798,179200o,12872i,10
799,69708o,67009i,10
800,82073o,82032i,10
801,264954i,264954o,10
802,60103o,58651i,10
803,29108o,29405i,10
804,58271i,58271o,10
805,55103o,55632i,10
806,21600o,32201i,10
807,15354o,15529i,10
808,82669o,81208i,10
809,48959o,34165i,10
810,33506o,75309i,10
811,36459o,36509i,10
812,48959o,36103i,10
813,251575o,40949i,10
814,59576o,59691i,10
815,51805o,51946i,10
816,6098o,6304i,10
817,24539o,279919i,10
818,66050i,66050o,10
819,10603o,10827i,10
820,262835o,65243i,10
821,36509o,36103i,10
822,26708o,26500i,10
823,14308i,14308o,10
824,3632o,3509i,10
825,82099i,82099o,10
826,47001o,47258i,10
827,42200o,53280i,10
828,39404o,39743i,10
829,32201o,33506i,10
830,15354i,15354o,10
831,64899o,75309i,10
832,65094o,65144i,10
833,82404o,82552i,10
834,28100o,25809i,10
835,61341o,61200i,10
836,44842o,45245i,10
837,12872o,12807i,10
838,57703i,57703o,10
839,32359o,32607i,10
840,8474o,7112i,10
841,12609i,12609o,10
842,63073o,79467i,10
843,47829o,47704i,10
844,5942o,5900i,10
845,48736o,48355i,10
846,3905o,4101i,10
847,9209o,10405i,10
848,46565o,264954i,10
849,18374i,18374o,10
850,54205o,41277i,10
851,46581o,264954i,10
852,54551i,54551o,10
853,65904o,258467i,10
854,14548i,14548o,10
855,74633o,74658i,10
856,10603o,9209i,10
857,19901o,20719i,10
858,32540o,32524i,10
859,66050o,254539i,10
860,40998o,251575i,10
861,26104i,26104o,10
862,71407o,71555i,10
863,53009o,53280i,10
864,46409o,251561i,10
865,21808o,7872i,10
866,47258i,47258o,10
867,27201o,30601i,10
868,48827o,48801i,10
869,50807o,50948i,10
870,50500o,50609i,10
871,67462o,67009i,10
