,Edge_start,Edge_end,Capacity
1024,83535o,83501i,1
1025,75903i,75903o,1
1026,24802i,24802o,1
1027,46805i,46805o,1
1028,61903o,67066i,1
1029,262848i,262848o,1
1030,48959o,47605i,1
1031,14043i,14043o,1
1032,54007o,53009i,1
1033,48033i,48033o,1
1034,36509o,38653i,1
1035,83246o,65144i,1
1036,26161i,26161o,1
1037,27805o,27300i,1
1038,62653i,62653o,1
1039,24539o,24638i,1
1040,56408i,56408o,1
1041,264970i,264970o,1
1042,21501i,21501o,1
1043,39008i,39008o,1
1044,45401i,45401o,1
1045,32607o,32706i,1
1046,26146o,26211i,1
1047,29645o,16139i,1
1048,15354o,15537i,1
1049,75424o,62653i,1
1050,21600o,32201i,1
1051,46565o,264954i,1
1052,82099o,82586i,1
1053,74658o,33506i,1
1054,42127o,42200i,1
1055,5900o,5942i,1
1056,69823o,69708i,1
1057,60335o,60269i,1
1058,65466o,65532i,1
1059,13003o,25809i,1
1060,12872i,12872o,1
1061,70201o,71407i,1
1062,9233o,9209i,1
1063,60103o,62109i,1
1064,38653o,36103i,1
1065,3509i,3509o,1
1066,43406i,43406o,1
1067,54528o,54403i,1
1068,233222o,39404i,1
1069,59576o,59691i,1
1070,46706i,46706o,1
1071,48504i,48504o,1
1072,58271o,60103i,1
1073,54551o,55103i,1
1074,34165o,48959i,1
1075,84400i,84400o,1
1076,33472i,33472o,1
1077,82578o,82586i,1
1078,1008o,1024i,1
1079,59808i,59808o,1
1080,29108o,30601i,1
1081,69823o,73312i,1
1082,30601o,42606i,1
1083,68205o,73312i,1
1084,39321o,49809i,1
1085,81208o,81232i,1
1086,273i,273o,1
1087,22442o,21808i,1
1088,8409o,7112i,1
1089,65003o,65029i,1
1090,21808o,20909i,1
1091,30007o,28472i,1
1092,37507o,36343i,1
1093,48504o,264970i,1
1094,51946o,51862i,1
1095,47829o,47886i,1
1096,65904o,258467i,1
1097,48736o,48355i,1
1098,81208i,81208o,1
1099,74658o,75309i,1
1100,37226i,37226o,1
1101,59691o,59576i,1
1102,68882o,67009i,1
1103,38885o,39206i,1
1104,38653o,36939i,1
1105,27912o,41558i,1
1106,83220o,83246i,1
1107,58271o,62109i,1
1108,46409o,251561i,1
1109,18200o,14514i,1
1110,9209o,10603i,1
1111,39974o,39909i,1
1112,73700o,73312i,1
1113,12807o,12963i,1
1114,51102i,51102o,1
1115,65029i,65029o,1
1116,39875i,39875o,1
1117,46805o,32540i,1
1118,20909o,20503i,1
1119,33563o,33902i,1
1120,68700i,68700o,1
1121,44842o,45906i,1
1122,7112o,17202i,1
1123,262835o,65243i,1
1124,46789i,46789o,1
1125,79467o,62802i,1
1126,81265i,81265o,1
1127,264970o,48504i,1
1128,44008o,59675i,1
1129,32359o,32201i,1
1130,49809o,39206i,1
1131,61903o,60608i,1
1132,8904i,8904o,1
1133,47704o,46409i,1
1134,33506o,48959i,1
1135,81703o,81786i,1
1136,9209i,9209o,1
1137,34868o,33563i,1
1138,32706o,32607i,1
1139,36103o,34835i,1
1140,82446i,82446o,1
1141,83501o,83535i,1
1142,57463o,57307i,1
1143,36707o,36939i,1
1144,3905o,4101i,1
1145,19901i,19901o,1
1146,51862i,51862o,1
