,Edge,Capacity
493,"('Siedlce', 'Niemojki')",1
494,"('Warszawa Zachodnia (Peron 9)', 'Warszawa Służewiec')",1
495,"('Iława Główna', 'Ostróda')",1
496,"('Krosno Miasto', 'Krosno')",1
497,"('Chałupki', 'Bohumín')",1
498,"('Włoszczowa', 'Koniecpol')",1
499,"('Oława', 'Wrocław Główny')",1
500,"('Jasło', 'Biecz')",1
501,"('Tczew', 'Gdańsk Główny')",1
502,"('Kielce', 'Jędrzejów')",1
503,"('Bydgoszcz Główna', 'Laskowice Pomorskie')",1
504,"('Chełm', 'Dorohusk')",1
505,"('Legnica', 'Chojnów')",1
506,"('Żegiestów Zdrój', 'Muszyna')",1
507,"('Puławy Miasto', 'Pionki Zachodnie')",1
508,"('Grodzisk Mazowiecki', 'Żyrardów')",1
509,"('Olsztyn Główny', 'Olsztyn Zachodni')",1
510,"('Łódź Retkinia', 'Pabianice')",1
511,"('Bobowa Miasto', 'Bogoniowice Ciężkowice')",1
512,"('Częstochowa Stradom', 'Lubliniec')",1
513,"('Oborniki Śląskie', 'Żmigród')",1
514,"('Tereszpol Biłgorajski', 'Zwierzyniec')",1
515,"('Działdowo', 'Nidzica')",1
516,"('Warszawa Zachodnia (Peron 9)', 'Warszawa Młynów')",1
517,"('Wałcz', 'Tuczno Krajeńskie')",1
518,"('Czeremcha', 'Hajnówka')",1
519,"('Bydgoszcz Leśna', 'Bydgoszcz Główna')",1
520,"('Czyżew', 'Małkinia')",1
521,"('Warszawa Wschodnia', 'Legionowo')",1
522,"('Tarnów', 'Bochnia')",1
523,"('Kłodzko Główne', 'Kłodzko Miasto')",1
524,"('Łódź Widzew', 'Piotrków Trybunalski')",1
525,"('Wrocław Główny', 'Wrocław Leśnica')",1
526,"('Małkinia', 'Łochów')",1
527,"('Koniecpol', 'Częstochowa')",1
528,"('Nysa', 'Otmuchów')",1
529,"('Maków Podhalański', 'Sucha Beskidzka Zamek')",1
530,"('Pruszcz Gdański', 'Gdańsk Główny')",1
531,"('Warka', 'Radom Główny')",1
532,"('Rzeszów Główny', 'Sędziszów Małopolski')",1
533,"('Bochnia', 'Kraków Główny')",1
534,"('Gniezno', 'Mogilno')",1
535,"('Terespol', 'Małaszewicze Przystanek')",1
536,"('Włoszczowa', 'Zawiercie')",1
